"검색 방식","평가 질문","8개 지표 단순 평균","Top-3 적중률 (Hit@K, K=3)","Top-5 재현율 (Recall@K, K=5)","첫 정답 순위 (MRR@K, K=10)","다중 정답 순위 (MAP@K, K=10)","주요 근거 완전회수 (Complete@K, K=5)","순위 품질 (nDCG@K, K=5)","Top-5 정밀도 (Precision@K, K=5)","정밀·재현 균형 (F1@K, K=5)","평균 검색시간(ms)"
"BM25 + Lucene Nori (discard)","121","0.37639122907957007","0.5785123966942148","0.581267217630854","0.5030958940049851","0.43663081026717415","0.03305785123966942","0.45856041552168825","0.16859504132231376","0.2514102059556603","1.0853553719008264"
"BGE-M3 Dense","121","0.4655517138249129","0.71900826446281","0.6949035812672175","0.6276957890594255","0.5584812409812411","0.04132231404958678","0.583710903305587","0.1999999999999997","0.2992916174734356","287.147049586777"
"BGE-M3 Sparse lexical matching","121","0.3803965062414466","0.6033057851239669","0.5544077134986225","0.5143545848091304","0.45029242642879014","0.04132231404958678","0.4592412921371788","0.17024793388429735","0.24999999999999994","36.75349586776859"
"Hybrid A: BGE-M3 Dense 0.85 + BM25-Nori Discard 0.15 (Weighted RRF)","121","0.46766517653181333","0.7355371900826446","0.6973829201101928","0.6241243604879969","0.5589876033057851","0.04132231404958678","0.5839670242183012","0.1999999999999997","0.3","729.135694214876"
"Hybrid A + BGE Reranker v2-m3 (Dense 0.85, Nori 0.15, RRF c=10)","121","0.5288380582464586","0.8181818181818182","0.7796143250688705","0.6994490358126723","0.6386615068433249","0.05785123966942149","0.666941293117587","0.22975206611570212","0.34025318116227193","700.8585619834711"
