"검색 방식","평가 질문","8개 지표 단순 평균","Top-3 적중률 (Hit@K, K=3)","Top-5 재현율 (Recall@K, K=5)","첫 정답 순위 (MRR@K, K=10)","다중 정답 순위 (MAP@K, K=10)","주요 근거 완전회수 (Complete@K, K=5)","순위 품질 (nDCG@K, K=5)","Top-5 정밀도 (Precision@K, K=5)","정밀·재현 균형 (F1@K, K=5)","평균 검색시간(ms)"
"BGE-M3 Dense","120","0.4335830744485518","0.6666666666666666","0.6777777777777778","0.5725496031746032","0.5269398148148148","0.016666666666666666","0.5600680347418545","0.1766666666666664","0.2713293650793648","292.4855333333333"
"BM25 + Lucene Nori (discard)","120","0.34246344007715185","0.525","0.5222222222222223","0.46952050264550277","0.4197265211640212","0.008333333333333333","0.4344089095061035","0.14333333333333317","0.21716269841269834","1.3008666666666666"
"Hybrid A: BGE-M3 Dense 0.85 + BM25-Nori Discard 0.15 (Weighted RRF)","120","0.4302020311407755","0.65","0.6719444444444445","0.5787003968253968","0.5263326719576722","0.016666666666666666","0.553706196216151","0.17499999999999974","0.2692658730158728","672.1788833333333"
"Hybrid A + BGE Reranker v2-m3 (Dense 0.85, Nori 0.15, RRF c=10)","120","0.5217289285701491","0.8083333333333333","0.8041666666666668","0.6657738095238096","0.6368154761904763","0.03333333333333333","0.6799723015770655","0.2166666666666663","0.3287698412698413","616.2762916666669"
"BGE-M3 Sparse lexical matching","120","0.3528695486589106","0.5583333333333333","0.5486111111111112","0.4526025132275133","0.4167615740740741","0.025","0.44436611149350747","0.14999999999999986","0.22728174603174597","43.69261666666666"
"BGE-M3 Dense structured","120","0.478190900366436","0.7166666666666667","0.7305555555555555","0.6318485449735451","0.5971710758377424","0.03333333333333333","0.6265869471995663","0.19333333333333305","0.296031746031746","688.9093"
"BGE-M3 Structured Dense + BM25-Nori Discard Hybrid + Parent-Child Neighbor Expansion (no domain filter)","120","0.4802137522461436","0.725","0.726388888888889","0.6408895502645504","0.6055489417989418","0.025","0.6299143830485144","0.19333333333333305","0.2956349206349206","745.8867666666667"
