"검색 방식","평가 질문","8개 지표 단순 평균","Top-3 적중률 (Hit@K, K=3)","Top-5 재현율 (Recall@K, K=5)","첫 정답 순위 (MRR@K, K=10)","다중 정답 순위 (MAP@K, K=10)","주요 근거 완전회수 (Complete@K, K=5)","순위 품질 (nDCG@K, K=5)","Top-5 정밀도 (Precision@K, K=5)","정밀·재현 균형 (F1@K, K=5)","평균 검색시간(ms)"
"BM25","113","0.21336302762045448","0.2831858407079646","0.3592920353982301","0.2701713723837617","0.2434495715690406","0.035398230088495575","0.26149382752226896","0.1026548672566371","0.15125847603723713","0.06402654867256637"
"BM25 + Lucene Nori","113","0.3339393874899753","0.504424778761062","0.5292035398230089","0.4288312965304118","0.37401835463782385","0.04424778761061947","0.4128845040325692","0.1522123893805308","0.22569244914377642","0.7368141592920354"
"BM25 + Lucene Nori (discard)","113","0.3339393874899753","0.504424778761062","0.5292035398230089","0.4288312965304118","0.37401835463782385","0.04424778761061947","0.4128845040325692","0.1522123893805308","0.22569244914377642","0.8522212389380531"
"BM25 + Lucene Nori (mixed)","113","0.3251972533372746","0.46017699115044247","0.5150442477876108","0.4247752493327715","0.3734541368169688","0.04424778761061947","0.40833465748137615","0.1522123893805308","0.2233325671378767","1.2958141592920358"
"BGE-M3 Dense","113","0.41694163959025576","0.6194690265486725","0.6191740412979351","0.5588109285011942","0.5037685536358103","0.05309734513274336","0.5399995680026569","0.17699115044247768","0.26422250316055595","728.2677699115044"
"BGE-M3 Sparse","113","0.34116826480495466","0.5221238938053098","0.4896755162241888","0.464078522264363","0.41163962635201584","0.05309734513274336","0.42875726530653624","0.14513274336283172","0.21484120599164844","40.982203539823004"
