"검색 방식","평가 질문","8개 지표 단순 평균","Top-3 적중률 (Hit@K, K=3)","Top-5 재현율 (Recall@K, K=5)","첫 정답 순위 (MRR@K, K=10)","다중 정답 순위 (MAP@K, K=10)","주요 근거 완전회수 (Complete@K, K=5)","순위 품질 (nDCG@K, K=5)","Top-5 정밀도 (Precision@K, K=5)","정밀·재현 균형 (F1@K, K=5)","평균 검색시간(ms)"
"BM25 + Lucene Nori (discard)","113","0.3339393874899753","0.504424778761062","0.5292035398230089","0.4288312965304118","0.37401835463782385","0.04424778761061947","0.4128845040325692","0.1522123893805308","0.22569244914377642","0.8522212389380531"
"BGE-M3 Dense","113","0.41694163959025576","0.6194690265486725","0.6191740412979351","0.5588109285011942","0.5037685536358103","0.05309734513274336","0.5399995680026569","0.17699115044247768","0.26422250316055595","728.2677699115044"
"BGE-M3 Sparse","113","0.34116826480495466","0.5221238938053098","0.4896755162241888","0.464078522264363","0.41163962635201584","0.05309734513274336","0.42875726530653624","0.14513274336283172","0.21484120599164844","40.982203539823004"
"Hybrid A: BGE-M3 Dense 0.85 + BM25-Nori Discard 0.15 (Weighted RRF, c=10)","113","0.41942780784012346","0.6283185840707964","0.6233038348082596","0.5604438825677767","0.5066601114388726","0.05309734513274336","0.5421245446443087","0.17699115044247765","0.26448300961575266","512.1044778761063"
"Hybrid A + BGE Reranker v2-m3 (Dense 0.85, Nori 0.15, RRF c=10)","226","0.44620855540578463","0.672566371681416","0.6612094395280236","0.5856422952661889","0.534024324577422","0.061946902654867256","0.575067907760786","0.19380530973451351","0.28540589204306044","534.2815973451326"
