"검색 방식","평가 질문","8개 지표 단순 평균","Top-3 적중률 (Hit@K, K=3)","Top-5 재현율 (Recall@K, K=5)","첫 정답 순위 (MRR@K, K=10)","다중 정답 순위 (MAP@K, K=10)","주요 근거 완전회수 (Complete@K, K=5)","순위 품질 (nDCG@K, K=5)","Top-5 정밀도 (Precision@K, K=5)","정밀·재현 균형 (F1@K, K=5)","평균 검색시간(ms)"
"BM25 + Lucene Nori (discard)","132","0.30485725424806165","0.5","0.4515151515151516","0.42814754689754697","0.35832070707070707","0","0.36460719223365134","0.13636363636363624","0.19990379990379983","2.3688560606060594"
"BGE-M3 Sparse lexical matching","132","0.324061493315851","0.5454545454545454","0.4816919191919192","0.43149951899951905","0.3688337742504409","0.015151515151515152","0.38445007397735986","0.14848484848484836","0.2169257510166601","42.55681060606061"
"BGE-M3 Dense","132","0.38985672108650204","0.6363636363636364","0.5670454545454546","0.5408820346320348","0.46463083213083234","0.015151515151515152","0.4816784986758372","0.16666666666666644","0.24643513052603944","915.4007651515153"
"Hybrid A: BGE-M3 Dense 0.85 + BM25-Nori Discard 0.15 (Weighted RRF)","132","0.39981017298571186","0.6287878787878788","0.5958333333333333","0.5528799903799904","0.4715494227994229","0.022727272727272728","0.4971514722148741","0.17272727272727245","0.2568247409156499","888.0105227272725"
"Hybrid A + BGE Reranker v2-m3 (Dense 0.85, Nori 0.15, RRF c=10)","132","0.4665985180399831","0.7348484848484849","0.6941919191919191","0.6206108706108706","0.5535418670835338","0.030303030303030304","0.5882163896155352","0.20757575757575725","0.3034998250907341","611.5996060606063"
"BGE-M3 Dense structured","132","0.42545263304984926","0.6666666666666666","0.6289141414141413","0.5763738576238577","0.5124164261664262","0.030303030303030304","0.5370644812513022","0.18181818181818155","0.27006427915518816","684.1361590909092"
